100559ms
t Pt t 总场 目标 海面 耦合 
11.40625 -0 185.02613 -21.344588 -21.344588 0 0
11.4375 0 185.05738 23.036474 23.036474 0 0
11.46875 0 185.08863 55.868834 55.868834 0 0
11.5 -0 185.11988 -76.283177 -76.283177 0 0
11.53125 -0 185.15113 -129.37332 -129.37332 0 0
11.5625 0 185.18238 219.37039 219.37039 0 0
11.59375 0 185.21363 260.97565 260.97565 0 0
11.625 -0 185.24488 -554.9025 -554.9025 0 0
11.65625 -0 185.27613 -447.54064 -447.54064 0 0
11.6875 0 185.30738 1241.5282 1241.5282 0 0
11.71875 0 185.33863 619.27227 619.27227 0 0
11.75 -0 185.36988 -2461.8362 -2461.8362 0 0
11.78125 -0 185.40113 -588.24708 -588.24708 0 0
11.8125 0 185.43238 4324.6976 4324.6976 0 0
11.84375 0 185.46363 35.336904 35.336904 0 0
11.875 -0 185.49488 -6712.714 -6712.714 0 0
11.90625 -0 185.52613 1403.6013 1403.6013 0 0
11.9375 0 185.55738 9154.9154 9154.9154 0 0
11.96875 0 185.58863 -3931.4109 -3931.4109 0 0
12 -0 185.61988 -10855.8 -10855.8 0 0
12.03125 -0 185.65113 7344.7463 7344.7463 0 0
12.0625 0 185.68238 10966.557 10966.557 0 0
12.09375 0 185.71363 -10928.156 -10928.156 0 0
12.125 -0 185.74488 -9021.5059 -9021.5059 0 0
12.15625 -0 185.77613 13641.254 13641.254 0 0
12.1875 0 185.80738 5286.5959 5286.5959 0 0
12.21875 0 185.83863 -14570.099 -14570.099 0 0
12.25 -0 185.86988 -751.05377 -751.05377 0 0
12.28125 -0 185.90113 13391.987 13391.987 0 0
12.3125 0 185.93238 -3292.7661 -3292.7661 0 0
12.34375 0 185.96363 -10545.942 -10545.942 0 0
12.375 -0 185.99488 5840.603 5840.603 0 0
12.40625 -0 186.02613 6991.2511 6991.2511 0 0
12.4375 0 186.05738 -6573.2489 -6573.2489 0 0
12.46875 0 186.08863 -3725.0733 -3725.0733 0 0
12.5 -0 186.11988 5849.7208 5849.7208 0 0
12.53125 -0 186.15113 1372.8441 1372.8441 0 0
12.5625 0 186.18238 -4378.2127 -4378.2127 0 0
12.59375 0 186.21363 -61.643997 -61.643997 0 0
12.625 -0 186.24488 2826.5292 2826.5292 0 0
12.65625 -0 186.27613 -439.53778 -439.53778 0 0
